Наименование,Дата поставки,Дата заказа,Срок поставки,Плановый срок поставки,Регион,Объем заказа,"Цена, руб",Условия платежа,НРП - нерегламентная потребность (внеплановая закупка),Поставщик
ПЕТЛЯ 3711.01.02.002 ,2017-04-10,2016-10-27,165,160,Республика Карелия,2,"109636,9427",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
КАТОК ПОДДЕРЖ 3548.05.02.300,2017-07-05,2016-11-02,245,280,Мурманская область,6,"95312,10191",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
БАРАБАН 3532.10.04.001,2017-07-05,2016-11-02,245,360,Мурманская область,1,"274222,9299",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ШКИВ 3536.09.00.140 ДЭ-818,2017-07-01,2016-11-02,241,260,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОРПУС ВЕРХН 3548.10.01.038,2017-06-05,2016-11-02,215,280,Мурманская область,1,"140292,9936",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
КОРПУС НИЖ 3548.10.01.039,2017-06-05,2016-11-02,215,280,Мурманская область,1,"137923,5669",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ШКИВ 3536.09.00.140 ДЭ-818,2017-06-01,2016-11-02,211,260,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
СТЕНКА КОВША ЗАДНЯЯ 3548.33.01.001,2017-05-20,2016-11-02,199,220,Мурманская область,1,"1082802,548",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
СТЕНКА ЗАДНЯЯ 3554.01.01.001-01,2017-05-20,2016-11-02,199,330,Мурманская область,1,"1082802,548",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ШКИВ 3536.09.00.140 ДЭ-818,2017-05-20,2016-11-02,199,260,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШКИВ 3536.08.00.140М,2017-05-20,2016-11-02,199,320,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШКИВ 3536.09.00.140 ДЭ-818,2017-05-01,2016-11-02,180,260,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ-ШЕСТЕРНЯ 3519.05.02.083,2017-04-20,2016-11-02,169,330,Мурманская область,2,"191082,8025",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ШКИВ 3536.08.00.140М,2017-04-20,2016-11-02,169,320,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ ОПОРН КОЛЕСА 3519.05.02.082 ,2017-03-20,2016-11-02,138,90,Мурманская область,2,"37834,3949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
ОСЬ 3536.05.12.081 НАТЯЖНАЯ,2017-03-20,2016-11-02,138,85,Мурманская область,1,"444585,9873",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПЕРЕДАЧА 2 РЕДУКТОРА НАПОРА В СБ ,2017-03-20,2016-11-02,138,120,Мурманская область,1,"232484,0764",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ-ШЕСТЕРНЯ 1-Я ПЕРЕДАЧА 3536.08.01.001,2017-03-20,2016-11-02,138,130,Мурманская область,1,"115414,0127",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ,2017-03-20,2016-11-02,138,320,Мурманская область,1,"567515,9236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
МУФТА ВАЛА УПРУГ 3536.08.00.300 СБ,2017-03-20,2016-11-02,138,220,Мурманская область,1,"126242,0382",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШКИВ 3536.08.00.140М,2017-03-20,2016-11-02,138,320,Мурманская область,3,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
МУФТА УПРУГАЯ 3536.22.00.400,2017-02-25,2016-11-02,115,145,Мурманская область,5,"152866,242",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
МУФТА УПРУГАЯ 3536.22.00.300,2017-02-25,2016-11-02,115,145,Мурманская область,5,"146496,8153",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ОБОЛОЧКА ЭМ630Х210 570004057,2016-12-25,2016-11-02,53,90,Мурманская область,2,"7388,535032",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВАЛ-ШЕСТЕРНЯ 3519.05.02.083,2016-12-25,2016-11-02,53,330,Мурманская область,2,"191082,8025",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ОБОЛОЧКА РЕЗИНОКОРД. 570004053 РЕВЕРС.,2016-12-15,2016-11-02,43,60,Мурманская область,2,"21496,81529",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
ШКИВ 3536.08.00.140М,2017-03-10,2016-11-15,115,320,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШКИВ 3536.09.00.140 ДЭ-818,2017-03-10,2016-11-15,115,260,Мурманская область,4,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШКИВ 3536.09.00.140 ДЭ-818,2017-03-10,2016-11-15,115,260,Мурманская область,2,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОМПЛЕКТ ТРАНСФОРМАТОРОВ ,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"649681,5287",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
КОМПЛЕКТ КАБЕЛЬНОЙ ПРОД В/ВОЛЬТН ,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"79617,83439",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,1,2882
КОМПЛЕКТ ТРАНСФОРМАТОРОВ ,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"649681,5287",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
УСТРОЙСТВО НКУ ДЛЯС-М УПР.Э/ПРОВ.,2017-05-10,2016-11-21,170,180,Республика Карелия,1,"3178343,949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
КОМПЛЕКТ КАБЕЛЬНОЙ ПРОД В/ВОЛЬТН ,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"79617,83439",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
КОМПЛЕКТ КАБЕЛЬНОЙ ПРОД Н/ВОЛЬТH ,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"668789,8089",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
ЯЧЕЙКА В/ВОЛЬТН.ВВОДА ЯВВЗ-6-250 УХЛ2,2017-05-10,2016-11-21,170,260,Республика Карелия,1,"634394,9045",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
УСТРОЙСТВО НКУ ДЛЯС-М УПР.Э/ПРОВ.,2017-02-20,2016-11-21,91,180,Республика Карелия,1,"3178343,949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
КОМПЛЕКТ КАБЕЛЬНОЙ ПРОД Н/ВОЛЬТH ,2017-02-20,2016-11-21,91,260,Республика Карелия,1,"668789,8089",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,2882
ЯЧЕЙКА В/ВОЛЬТН.ВВОДА ЯВВЗ-6-250 УХЛ2,2017-02-20,2016-11-21,91,260,Республика Карелия,1,"634394,9045",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,1,2882
ЦАПФА ЦЕНТРАЛЬНАЯ 3635.06.00.000,2018-03-25,2016-11-23,487,240,Республика Карелия,1,"685267,5159",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РЕДУКТОР ПОВОРОТА 3555.11.01.000СБ,2018-03-04,2016-11-23,466,330,Республика Карелия,2,"2086668,79",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РЕДУКТОР ХОДА ЛЕВЫЙ 3572.05.10.000 ,2018-03-04,2016-11-23,466,430,Республика Карелия,1,"4014560,51",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЛЕБЕДКА НАПОРА 3536.08.00.000 БЕЗ Э/ДВ,2018-03-04,2016-11-23,466,330,Республика Карелия,1,"6963261,146",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЛЕБЕДКА ПОДЪЕМА 3536.22.00.000 БЕЗ Э/ДВ,2018-03-04,2016-11-23,466,330,Республика Карелия,1,"7619414,013",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РЕДУКТОР ХОДА ПРАВЫЙ 3572.05.11.000,2017-12-20,2016-11-23,392,430,Республика Карелия,1,"4014560,51",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
БЛОК В СБОРЕ 3536.03.00.150 ,2017-11-30,2016-11-23,372,100,Республика Карелия,2,"400140,1274",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РУКОЯТЬ ФЛАНЦЕВАЯ 3536.38.00.000СБ,2017-07-20,2016-11-23,239,200,Республика Карелия,1,"2083159,236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
БЛОКИ ГОЛОВНЫЕ 3536.03.03.000 ,2017-07-20,2016-11-23,239,240,Республика Карелия,1,"1432560,51",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ВАЛ-ШЕСТЕРНЯ 3519.05.02.083,2017-07-20,2016-11-23,239,330,Республика Карелия,2,"261464,9682",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ТЕЛЕЖКА ХОДОВАЯ 3536.05.00.000-02_Р0812,2017-07-20,2016-11-23,239,240,Республика Карелия,1,"32815585,99",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ПЛАТФОРМА ПОВОРОТНАЯ 3536.13.01.000-02,2017-07-20,2016-11-23,239,240,Республика Карелия,1,"9225611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ПОДКОС ПРАВЫЙ 3536.24.00.250 ,2017-06-22,2016-11-23,211,220,Республика Карелия,1,"464968,1529",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ПОДВЕСКА КОВША 3519.21.00.000СБ,2017-06-22,2016-11-23,211,200,Республика Карелия,1,"1153566,879",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
УСТАНОВКА НАСОСНАЯ 3555.11.01.150,2017-06-21,2016-11-23,210,330,Республика Карелия,2,"64751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЗАСОВ ДНИЩА 3532.01.02.007,2017-06-16,2016-11-23,205,60,Республика Карелия,1,"23573,24841",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ПОДКОС ЛЕВЫЙ 3536.24.00.270 ,2017-06-15,2016-11-23,204,220,Республика Карелия,1,"464968,1529",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
СТОЙКА ДВУНОГАЯ 3536.12.00.000 ,2017-06-14,2016-11-23,203,200,Республика Карелия,1,"2178617,834",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ОСЬ НАПОРНАЯ 3536.03.00.001,2017-06-13,2016-11-23,202,165,Республика Карелия,1,"281885,3503",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РЕЛЬС КОЛЬЦЕВОЙ 3536.13.00.004 СЕГМЕНТ,2017-05-24,2016-11-23,182,170,Республика Карелия,4,"64662,42038",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
УСТАНОВКА НАСОСНАЯ 3555.11.01.150,2017-05-20,2016-11-23,178,330,Республика Карелия,2,"64751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЗАСОВ ДНИЩА 3532.01.02.007,2017-05-20,2016-11-23,178,60,Республика Карелия,1,"23573,24841",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РЕДУКТОР ПОВОРОТА 3555.11.01.000СБ,2017-05-20,2016-11-23,178,330,Республика Карелия,1,"2086668,79",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
КРУГ РОЛИКОВЫЙ В СБОРЕ  3536.07.03.000,2017-05-18,2016-11-23,176,210,Республика Карелия,1,"1924872,611",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
БАРАБАН КАБЕЛЬНЫЙ 3537.35.05.000,2017-05-18,2016-11-23,176,220,Республика Карелия,1,"1199019,108",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
СЕКЦИЯ СТРЕЛЫ НИЖНЯЯ 3536.03.07.000,2017-05-15,2016-11-23,173,200,Республика Карелия,1,"1740445,86",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
МАСЛООТДЕЛИТЕЛЬ 114.00088,2017-05-15,2016-11-23,173,180,Республика Карелия,1,"3152,866242",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ПЛАТФОРМА ПОВОРОТНАЯ 3536.13.01.000-02,2017-04-28,2016-11-23,156,240,Республика Карелия,1,"9225611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
РУКОЯТЬ ФЛАНЦЕВАЯ 3536.38.00.000СБ,2017-04-10,2016-11-23,138,200,Республика Карелия,1,"2083159,236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
ОСЬ ОПОРН КОЛЕСА 3519.05.02.082 ,2017-04-10,2016-11-23,138,90,Республика Карелия,4,"103617,8344",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ОСЬ ОПОРН КОЛЕСА 3519.05.02.082 ,2017-04-10,2016-11-23,138,90,Республика Карелия,8,"103617,8344",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ВЕНЕЦ ЗУБЧ 3536.05.00.001 ,2017-04-10,2016-11-23,138,220,Республика Карелия,1,"2337808,917",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
СТОЙКА ДВУНОГАЯ 3536.12.00.000 ,2017-04-10,2016-11-23,138,200,Республика Карелия,1,"2178617,834",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
БЛОК В СБОРЕ 3536.03.00.150 ,2017-04-10,2016-11-23,138,100,Республика Карелия,2,"400140,1274",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЛЕБЕДКА ПОДЪЕМА 3536.22.00.000 БЕЗ Э/ДВ,2017-04-10,2016-11-23,138,330,Республика Карелия,1,"7619414,013",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
КОЛЕСО 3519.05.02.200 БОЛЬШОЕ ОПОРНОЕ,2017-04-10,2016-11-23,138,205,Республика Карелия,4,"296687,8981",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
